clf,alpha_1sd,param_1sd,alpha_star,semillas
fkdc,1.0,5.623413251903491,1.0,14
fkdc,1.0,5.623413251903491,1.25,9
fkdc,1.0,5.623413251903491,1.75,2
fkn,1.0,22.0,2.25,2
fkn,1.0,30.0,2.25,2
fkn,2.0,22.0,2.5,2
fkn,1.0,4.0,2.5,1
fkn,1.0,16.0,2.0,1
fkn,1.0,22.0,1.75,1
fkn,1.0,22.0,2.0,1
fkn,1.0,22.0,3.25,1
fkn,1.0,22.0,3.75,1
fkn,1.0,30.0,1.75,1
fkn,1.0,30.0,2.0,1
fkn,1.0,41.0,3.0,1
fkn,1.5,12.0,2.5,1
fkn,1.75,12.0,2.5,1
fkn,1.75,22.0,2.0,1
fkn,2.25,8.0,3.75,1
fkn,2.25,12.0,3.0,1
fkn,2.25,22.0,2.5,1
fkn,2.5,22.0,2.75,1
fkn,2.5,30.0,2.75,1
fkn,2.5,30.0,3.0,1
fkn,2.75,22.0,2.75,1
kdc,1.0,7.3564225445964215,1.0,22
kdc,1.0,8.874586936177712,1.0,3
kn,1.0,30.0,1.0,10
kn,1.0,41.0,1.0,6
kn,1.0,22.0,1.0,4
kn,1.0,12.0,1.0,2
kn,1.0,4.0,1.0,1
kn,1.0,8.0,1.0,1
kn,1.0,16.0,1.0,1
