dataset,d,nn_mediana,pareada_mediana,cociente
lunas_lo,2,0.042,1.241,29.8
circulos_lo,2,0.027,1.271,46.2
espirales_lo,2,0.085,3.242,38.3
anteojos,2,0.038,1.816,48.0
lunas_hi,2,0.05,1.436,28.5
circulos_hi,2,0.036,1.279,35.4
espirales_hi,2,0.106,3.249,30.6
eslabones_0,3,0.093,1.476,15.9
helices_0,3,0.085,2.113,24.7
pionono_0,3,0.907,16.879,18.6
hueveras_0,3,0.261,5.095,19.5
eslabones_12,15,1.895,3.72,2.0
helices_12,15,4.035,7.924,2.0
pionono_12,15,25.395,49.868,2.0
hueveras_12,15,8.605,17.019,2.0
iris,4,0.224,2.36,10.6
vino,13,9.209,282.172,30.6
pinguinos,4,4.592,775.082,168.8
digitos,64,17.833,49.02,2.7
mnist,96,1311.784,2508.579,1.9
