clf,alpha_1sd,param_1sd,alpha_star,semillas
fkdc,1.0,316.22776601683796,1.0,15
fkdc,1.0,562.341325190349,1.0,10
fkn,1.0,22.0,2.25,2
fkn,1.0,30.0,1.75,2
fkn,1.0,30.0,2.75,2
fkn,1.0,30.0,3.0,2
fkn,1.0,56.0,2.75,2
fkn,1.0,22.0,2.0,1
fkn,1.0,30.0,2.0,1
fkn,1.0,30.0,2.25,1
fkn,1.0,30.0,2.5,1
fkn,1.0,41.0,2.25,1
fkn,1.0,41.0,2.75,1
fkn,1.0,56.0,2.25,1
fkn,1.0,56.0,4.0,1
fkn,1.25,30.0,3.75,1
fkn,1.5,30.0,2.5,1
fkn,2.0,56.0,2.25,1
fkn,2.5,30.0,4.0,1
fkn,2.75,30.0,3.5,1
fkn,3.0,56.0,3.5,1
fkn,3.75,56.0,3.75,1
kdc,1.0,456.3092359903166,1.0,22
kdc,1.0,378.248990638939,1.0,2
kdc,1.0,550.4789807854979,1.0,1
kn,1.0,41.0,1.0,10
kn,1.0,30.0,1.0,5
kn,1.0,56.0,1.0,5
kn,1.0,77.0,1.0,4
kn,1.0,22.0,1.0,1
