clf,,fkdc,fkdc,fkdc,kdc,kdc,max_score_alpha_test
,delta_r2,alpha,bandwidth,r2,bandwidth,r2,
semilla,,,,,,,
2048,0.075,1.0,1.778,0.831,2.879,0.755,[1.25]
7354,0.065,1.0,1.778,0.841,2.879,0.776,[1.25]
2694,0.064,1.0,1.778,0.838,2.879,0.774,[1.]
7974,0.043,1.0,3.162,0.716,3.473,0.673,[1.]
1338,0.039,1.0,1.778,0.896,2.387,0.857,[1.25]
7074,0.038,1.0,1.778,0.867,2.387,0.829,[1.]
8578,0.034,1.0,1.778,0.879,2.387,0.845,[1.25]
1182,0.026,1.0,1.778,0.872,2.387,0.846,[1.25]
8443,0.026,1.0,1.778,0.827,2.387,0.8,[1.25]
8591,0.025,1.0,1.778,0.855,2.387,0.83,[1.]
1188,0.024,1.0,1.778,0.847,2.387,0.824,[1.]
8527,0.023,1.0,1.778,0.853,2.387,0.83,[1.25]
1193,0.017,1.0,1.778,0.839,2.387,0.822,[1.]
7060,0.016,1.0,1.778,0.825,2.387,0.809,[1.]
3046,0.013,1.0,1.778,0.832,2.387,0.819,[1.]
6610,0.0,1.0,1.778,0.819,2.387,0.819,[1.]
1075,-0.003,1.0,1.778,0.796,2.387,0.799,[1.]
4286,-0.003,1.0,1.778,0.829,1.978,0.832,[1.]
8988,-0.005,1.0,1.778,0.783,2.387,0.789,[1.]
1434,-0.034,1.0,3.162,0.715,2.879,0.749,[1.]
7837,-0.035,1.0,3.162,0.735,2.879,0.771,[1.25]
5640,-0.038,1.0,3.162,0.766,2.879,0.803,[1.]
8096,-0.038,1.0,3.162,0.747,2.879,0.785,[1.]
2411,-0.038,1.0,3.162,0.716,2.879,0.754,[1.25]
9975,-0.041,1.0,3.162,0.736,2.879,0.777,[1.25]
